date,workout_name,menu,set_order,weight,reps,distance,sec,note,workout_note,part
2018/9/26 6:15,マンデルブロbackフェーズ2,Topside Deadlift,4,180,4,0,0,,,back
2018/12/25 6:24,早朝ワークアウト,T Bar Row,1,30,12,0,0,,,back
2018/12/25 6:24,早朝ワークアウト,T Bar Row,2,40,12,0,0,,,back
2018/8/31 5:49,Back Day w/o Deadlift #6,T Bar Row,1,30,12,0,0,,,back
2018/8/31 5:49,Back Day w/o Deadlift #6,T Bar Row,2,40,12,0,0,,,back
2018/8/31 5:49,Back Day w/o Deadlift #6,T Bar Row,3,40,12,0,0,,,back
2018/7/20 6:31,Back Day w/o Deadlift #5,T Bar Row,1,25,12,0,0,,,back
2018/7/20 6:31,Back Day w/o Deadlift #5,T Bar Row,2,30,13,0,0,,,back
2018/7/20 6:31,Back Day w/o Deadlift #5,T Bar Row,3,30,12,0,0,,,back
2018/7/20 6:31,Back Day w/o Deadlift #5,T Bar Row,4,30,15,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,T Bar Row,1,15,12,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,T Bar Row,2,20,12,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,T Bar Row,3,25,12,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,T Bar Row,4,30,12,0,0,,,back
2017/12/1 6:03,Back Day w/o Deadlift,T Bar Row,1,25,12,0,0,,,back
2017/12/1 6:03,Back Day w/o Deadlift,T Bar Row,2,30,12,0,0,,,back
2017/12/1 6:03,Back Day w/o Deadlift,T Bar Row,3,30,12,0,0,,,back
2017/12/1 6:03,Back Day w/o Deadlift,T Bar Row,4,25,12,0,0,,,back
2017/12/1 6:03,Back Day w/o Deadlift,T Bar Row,5,25,12,0,0,,,back
2018/1/26 6:10,Back Day w/o Deadlift,T Bar Row,1,25,12,0,0,,,back
2018/1/26 6:10,Back Day w/o Deadlift,T Bar Row,2,30,12,0,0,,,back
2018/1/26 6:10,Back Day w/o Deadlift,T Bar Row,3,30,12,0,0,,,back
2018/1/26 6:10,Back Day w/o Deadlift,T Bar Row,4,30,12,0,0,,,back
2018/11/20 6:36,早朝ワークアウト,Sumo Deadlift (Barbell),1,100,5,0,0,,,back
2018/11/20 6:36,早朝ワークアウト,Sumo Deadlift (Barbell),2,100,5,0,0,,,back
2019/2/15 6:21,早朝ワークアウト,Sumo Deadlift (Barbell),1,150,1,0,0,,,back
2019/2/15 6:21,早朝ワークアウト,Sumo Deadlift (Barbell),2,140,1,0,0,,,back
2019/2/15 6:21,早朝ワークアウト,Sumo Deadlift (Barbell),3,100,5,0,0,,,back
2019/2/18 6:19,新規ルーティン,Sumo Deadlift (Barbell),1,100,3,0,0,,,back
2019/2/18 6:19,新規ルーティン,Sumo Deadlift (Barbell),2,100,3,0,0,,,back
2019/2/18 6:19,新規ルーティン,Sumo Deadlift (Barbell),3,100,3,0,0,,,back
2019/2/22 6:21,新規ルーティン,Sumo Deadlift (Barbell),1,100,8,0,0,,,back
2019/2/22 6:21,新規ルーティン,Sumo Deadlift (Barbell),2,100,8,0,0,,,back
2019/2/25 6:39,新規ルーティン,Sumo Deadlift (Barbell),1,100,1,0,0,,,back
2019/2/25 6:39,新規ルーティン,Sumo Deadlift (Barbell),2,60,10,0,0,,,back
2019/2/28 6:18,新規ルーティン,Sumo Deadlift (Barbell),1,60,10,0,0,,,back
2019/2/28 6:18,新規ルーティン,Sumo Deadlift (Barbell),2,80,8,0,0,,,back
2019/2/28 6:18,新規ルーティン,Sumo Deadlift (Barbell),3,90,8,0,0,,,back
2019/3/14 6:16,新規ルーティン,Sumo Deadlift (Barbell),1,130,5,0,0,,,back
2019/3/18 5:54,新規ルーティン,Sumo Deadlift (Barbell),1,127.5,1,0,0,,,back
2019/3/18 5:54,新規ルーティン,Sumo Deadlift (Barbell),2,100,5,0,0,,,back
2019/2/11 17:04,午後ワークアウト,Sumo Deadlift (Barbell),1,140,5,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,Sumo Deadlift (Barbell),1,60,5,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,Sumo Deadlift (Barbell),2,97.5,3,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,Sumo Deadlift (Barbell),3,97.5,3,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,Sumo Deadlift (Barbell),4,97.5,3,0,0,,,back
2017/11/17 6:55,Back Day w/o Deadlift,Sumo Deadlift (Barbell),5,97.5,3,0,0,,,back
2018/8/24 5:57,Back Day fst7 #16,Sumo Deadlift (Barbell),1,100,5,0,0,,,back
2018/8/24 5:57,Back Day fst7 #16,Sumo Deadlift (Barbell),2,100,5,0,0,,,back
2018/8/10 6:55,Back Day fst7 #15,Sumo Deadlift (Barbell),1,100,5,0,0,,,back
2018/8/10 6:55,Back Day fst7 #15,Sumo Deadlift (Barbell),2,100,5,0,0,,,back
